sales,ratio
1121.23,0.022
336.5,0.013
4126.77,0.039
3047.87,0.004
70,0.072
10.23,0.109
55.4,0.062
3139.53,0.016
43.67,0.033
1805.23,0.03
43.63,0.093
75.73,0.116
182.83,0.069
7331.57,0.037
5567.83,0.102
36.43,0.092
152788.83,0.048
349.3,0.083
555.5,0.021
25,0.065
945.9,0.05
1791.37,0.014
16.47,0.043
137.8,0.056
145.67,0.002
4418.57,0.008
141.4,0.026
190.37,0.083
2590.3,0.004
69.9,0.048
2869.03,0.03
420.63,0.059
3738.13,0.015
5441.27,0.007
414.9,0.026
5736.4,0.021
76.3,0.073
120.7,0.013
2698.53,0.034
331.57,0.115
1.43,0.024
147.1,0.026
383.93,0.021
5042.87,0.024
241.03,0.024
5100.37,0.016
7.13,0.051
165.27,0.011
86.77,0.065
2849.53,0.007
845.73,0.053
232.1,0.044
96.7,0.022
81.93,0.049
760.57,0.047
21.9,0.101
2105.2,0.007
1303.5,0.011
7970.53,0.008
0.4,0.086
131.07,0.062
1.87,0.083
13092.97,0.015
673.67,0.025
17.53,0.058
692.23,0.066
19.07,0.04
288.63,0.083
6564.77,0.043
44204.23,0.007
9.23,0.093
65.3,0.05
8.47,0.024
1017.67,0.009
4109.2,0.01
3032.33,0.01
6047.23,0.012
240,0.02
54.13,0.027
2683.8,0.126
14288.7,0.047
2620.6,0.084
91.27,0.023
310.9,0.044
8.37,0.093
72.9,0.061
784.07,0.042
20.2,0.054
3891.03,0.007
11.97,0.121
84.37,0.031
166.37,0.019
138.23,0.071
3116.83,0.029
52.43,0.04
14.83,0.046
1517.2,0.053
188.27,0.051
7.8,0.034
20.77,0.393
992.93,0.05
188.73,0.01
12.9,0.07
1860.67,0.06
623.7,0.018
1.53,0.198
1779.5,0.018
257.97,0.041
2033.73,0.057
2.13,0.153
1220.17,0.012
601.27,0.044
176.63,0.035
103.93,0.066
6.53,0.105
2362.8,0.054
39745.13,0.011
280.37,0.024
61.3,0.084
11788.9,0.01
117.3,0.029
432.23,0.014
10.63,0.041
19.9,0.012
230.9,0.014
26.77,0.032
1.63,0.108
335.7,0.016
382.5,0.08
32775.13,0.018
13776.8,0.006
134949.2,0.026
560.7,0.071
5456.97,0.014
241.77,0.033
107.97,0.072
816.43,0.022
19.23,0.051
44805.43,0.005
4195.57,0.072
2945.03,0.017
109.53,0.054
665.37,0.017
1302.23,0.228
920.8,0.02
661.17,0.021
